[2025-03-23 05:55:49] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-03-23 05:55:49] [class-ss-archive-creation-job.php:98] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2025-03-23 05:55:49] [class-ss-archive-creation-job.php:116] Pushing first task to queue: setup
[2025-03-23 05:55:49] [class-ss-archive-creation-job.php:172] Current task: setup
[2025-03-23 05:55:49] [class-ss-archive-creation-job.php:182] Performing task: setup
[2025-03-23 05:55:49] [class-ss-task.php:44] Status message: [setup] Setting up
[2025-03-23 05:55:50] [class-ss-setup-task.php:33] Creating archive directory: C:\Users\joell\Local Sites\decaribbeanfoodie-1\app\public/wp-content/uploads\simply-static\temp-files/simply-static-1-1742709349\
[2025-03-23 05:55:50] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost:10028/
[2025-03-23 05:55:50] [class-ss-setup-task.php:82] Adding additional URL to queue: http://localhost:10028/privacy-policy/
[2025-03-23 05:55:50] [class-ss-setup-task.php:155] Adding files from directory: C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads/
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake-1-150x150.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake-1-150x150.jpg
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake-1-300x200.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake-1-300x200.jpg
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake-1.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake-1.jpg
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake-150x150.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake-150x150.jpg
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake-300x200.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake-300x200.jpg
[2025-03-23 05:55:50] [class-ss-setup-task.php:160] Adding file C:/Users/joell/Local Sites/decaribbeanfoodie-1/app/public/wp-content/uploads\2025\03\cake.jpg to queue as: http://localhost:10028/wp-content/uploads/2025/03/cake.jpg
